time	V(cap)	V(source)
8.853062499611048e-05	-6.885244e-01	-6.597120e+00
8.999546874611048e-05	-7.692680e-01	-5.878772e+00
9.146031249611049e-05	-8.380221e-01	-5.110660e+00
9.292515624611049e-05	-8.942843e-01	-4.299284e+00
9.438999999611049e-05	-9.376568e-01	-3.451514e+00
9.585484374611049e-05	-9.678498e-01	-2.574527e+00
9.731968749611049e-05	-9.846839e-01	-1.675746e+00
9.829624999611049e-05	-9.884472e-01	-1.068203e+00
9.927281249611049e-05	-9.862487e-01	-4.566390e-01
1.007376562461105e-04	-9.718447e-01	4.632081e-01
1.022024999961105e-04	-9.442942e-01	1.379134e+00
1.036673437461105e-04	-9.039019e-01	2.283386e+00
1.051321874961105e-04	-8.510804e-01	3.168308e+00
1.065970312461105e-04	-7.863461e-01	4.026410e+00
1.080618749961105e-04	-7.103156e-01	4.850427e+00
1.095267187461105e-04	-6.237000e-01	5.633385e+00
1.109915624961105e-04	-5.272989e-01	6.368655e+00
1.124564062461105e-04	-4.219939e-01	7.050014e+00
1.139212499961105e-04	-3.087410e-01	7.671693e+00
1.148978124961105e-04	-2.293260e-01	8.050369e+00
1.158743749961105e-04	-1.471493e-01	8.398746e+00
1.163626562461105e-04	-1.051274e-01	8.561157e+00
1.168509374961105e-04	-6.253866e-02	8.715511e+00
1.173392187461105e-04	-1.942553e-02	8.861663e+00
1.178274999961105e-04	2.416918e-02	8.999474e+00
1.183157812461105e-04	6.820218e-02	9.128815e+00
1.192923437461105e-04	1.574079e-01	9.361609e+00
1.201293973175391e-04	2.354285e-01	9.533846e+00
1.209664508889676e-04	3.135536e-01	9.678936e+00
1.218035044603962e-04	3.917832e-01	9.796880e+00
1.226405580318248e-04	4.701172e-01	9.887678e+00
1.234776116032534e-04	5.485558e-01	9.951330e+00
1.243146651746819e-04	6.270988e-01	9.987835e+00
1.251517187461105e-04	7.057464e-01	9.997193e+00
1.264072991032534e-04	8.232559e-01	9.955567e+00
1.276628794603962e-04	9.366669e-01	9.854672e+00
1.289184598175391e-04	1.045979e+00	9.694509e+00
1.301740401746819e-04	1.151193e+00	9.475076e+00
1.314296205318248e-04	1.252308e+00	9.196375e+00
1.326852008889677e-04	1.349325e+00	8.858405e+00
1.339407812461105e-04	1.442243e+00	8.461166e+00
1.350568526746819e-04	1.518789e+00	8.061213e+00
1.361729241032534e-04	1.589068e+00	7.627457e+00
1.372889955318248e-04	1.653080e+00	7.159897e+00
1.384050669603962e-04	1.710826e+00	6.658535e+00
1.395211383889677e-04	1.762305e+00	6.123370e+00
1.406372098175391e-04	1.807517e+00	5.554402e+00
1.417532812461105e-04	1.846462e+00	4.951631e+00
1.423810714246819e-04	1.864870e+00	4.603862e+00
1.430088616032534e-04	1.880912e+00	4.250333e+00
1.436366517818248e-04	1.894588e+00	3.891043e+00
1.442644419603962e-04	1.905898e+00	3.525991e+00
1.448922321389677e-04	1.914843e+00	3.155180e+00
1.455200223175391e-04	1.921421e+00	2.778607e+00
1.461478124961105e-04	1.925634e+00	2.396273e+00
1.476126562461105e-04	1.925922e+00	1.494042e+00
1.479614285675391e-04	1.924037e+00	1.276810e+00
1.483102008889677e-04	1.921406e+00	1.059227e+00
1.486589732103962e-04	1.918027e+00	8.412923e-01
1.490077455318248e-04	1.913901e+00	6.230062e-01
1.493565178532534e-04	1.909028e+00	4.043688e-01
1.497052901746819e-04	1.903407e+00	1.853799e-01
1.500540624961105e-04	1.897040e+00	-3.396042e-02
1.505423437461105e-04	1.886859e+00	-3.413363e-01
1.510306249961105e-04	1.875262e+00	-6.476731e-01
1.515189062461105e-04	1.862248e+00	-9.529707e-01
1.520071874961105e-04	1.847818e+00	-1.257229e+00
1.524954687461105e-04	1.831972e+00	-1.560449e+00
1.529837499961105e-04	1.814710e+00	-1.862629e+00
1.534720312461105e-04	1.796031e+00	-2.163770e+00
1.545183482103963e-04	1.750885e+00	-2.806786e+00
1.555646651746820e-04	1.700221e+00	-3.431170e+00
1.566109821389677e-04	1.644039e+00	-4.036922e+00
1.576572991032534e-04	1.582338e+00	-4.624041e+00
1.587036160675391e-04	1.515120e+00	-5.192527e+00
1.597499330318248e-04	1.442383e+00	-5.742381e+00
1.607962499961105e-04	1.364128e+00	-6.273602e+00
1.619820758889677e-04	1.269332e+00	-6.842000e+00
1.631679017818248e-04	1.170624e+00	-7.365895e+00
1.643537276746820e-04	1.068003e+00	-7.845289e+00
1.655395535675391e-04	9.614691e-01	-8.280180e+00
