w,G1,P1,G2,P2,G,P
3.036771118035458406e-01,1.162296771153628505e+00,7.310766477115863893e+01,1.999078439464586188e+00,-1.739407123012578493e+00,2.323522415472523139e+00,7.136825764814606998e+01
3.180625692794118997e-01,1.212401853473199065e+00,7.235608032790864286e+01,1.998989128932281867e+00,-1.821750132508539899e+00,2.423578124990274141e+00,7.053433019540008786e+01
3.331294787934673263e-01,1.264214783976856715e+00,7.157556382416728979e+01,1.998891170313171317e+00,-1.907985728065665576e+00,2.527027769070711916e+00,6.966757809610163577e+01
3.489101213406772817e-01,1.317734116907639308e+00,7.076560336270563312e+01,1.998783727661372911e+00,-1.998297103840405153e+00,2.633865510259219445e+00,6.876730625886523285e+01
3.654383070957256119e-01,1.372949770824006821e+00,6.992576020591721431e+01,1.998665884523411540e+00,-2.092875953623837937e+00,2.744067868110178665e+00,6.783288425229336838e+01
3.827494478516312304e-01,1.429842087402085182e+00,6.905568035500881763e+01,1.998536636245084708e+00,-2.191922847021781084e+00,2.857591795718213756e+00,6.686375750798704587e+01
4.008806328898465443e-01,1.488380893653538983e+00,6.815510670253479475e+01,1.998394881555448199e+00,-2.295647619546313578e+00,2.974372759682156087e+00,6.585945908298847939e+01
4.198707084443910054e-01,1.548524589735364332e+00,6.722389161939487678e+01,1.998239413362505434e+00,-2.404269776703827688e+00,3.094322867770209484e+00,6.481962184269106331e+01
4.397603609302719874e-01,1.610219288475185140e+00,6.626200979679757097e+01,1.998068908689761836e+00,-2.518018912085377536e+00,3.217329096474816463e+00,6.374399088471219699e+01
4.605922041145105728e-01,1.673398036513531473e+00,6.526957112048788190e+01,1.997881917677079233e+00,-2.637135139370192949e+00,3.343251678226713874e+00,6.263243598111768051e+01
4.824108704165370187e-01,1.737980150311920102e+00,6.424683331026542987e+01,1.997676851563187084e+00,-2.761869538040285565e+00,3.471922714754430928e+00,6.148496377222515008e+01
5.052631065335680960e-01,1.803870702882343746e+00,6.319421401450013320e+01,1.997451969560784413e+00,-2.892484612470533900e+00,3.603145088305332866e+00,6.030172940202960064e+01
5.291978735958442481e-01,1.870960198612658720e+00,6.211230200952676483e+01,1.997205364528507499e+00,-3.029254763901295444e+00,3.736691745488523786e+00,5.908304724562547250e+01
5.542664520663105332e-01,1.939124473628066170e+00,6.100186712046316728e+01,1.996934947337031918e+00,-3.172466774616219620e+00,3.872305428624411405e+00,5.782940034584694899e+01
5.805225516094898452e-01,2.008224857386395446e+00,5.986386845649059296e+01,1.996638429819402649e+00,-3.322420303432485067e+00,4.009698925976267425e+00,5.654144815305810567e+01
6.080224261649423978e-01,2.078108627346221038e+00,5.869946054345956554e+01,1.996313306188347347e+00,-3.479428391359882689e+00,4.148555904476062928e+00,5.522003215209966953e+01
6.368249944718588074e-01,2.148609782353671172e+00,5.750999694323087397e+01,1.995956832795885649e+00,-3.643817975994195990e+00,4.288532376100891774e+00,5.386617896723667087e+01
6.669919663030121626e-01,2.219550151783471481e+00,5.629703097538900636e+01,1.995566006103220991e+00,-3.815930412873623556e+00,4.429258831740341407e+00,5.248110056251537259e+01
6.985879746785247368e-01,2.290740846538045439e+00,5.506231320502129734e+01,1.995137538721685644e+00,-3.996122001638559684e+00,4.570343054411146078e+00,5.106619120338274342e+01
7.316807143427196403e-01,2.361984045063111992e+00,5.380778543109834544e+01,1.994667833378758637e+00,-4.184764514388241707e+00,4.711373597641233424e+00,4.962302091671009663e+01
7.663410868007458632e-01,2.433075093115093512e+00,5.253557100303380167e+01,1.994152954656999155e+00,-4.382245723115056002e+00,4.851923885837815753e+00,4.815332527991874656e+01
8.026433522257175879e-01,2.503804880871577598e+00,5.124796140587024951e+01,1.993588598348470686e+00,-4.588969922510583110e+00,4.991556862994828592e+00,4.665899148335966373e+01
8.406652885618325355e-01,2.573962446052341146e+00,4.994739918295501724e+01,1.992970058263298316e+00,-4.805358443768118271e+00,5.129830086076475837e+00,4.514204073918688920e+01
8.804883581643462298e-01,2.643337738074883259e+00,4.863645740285540597e+01,1.992292190328695423e+00,-5.031850154244449591e+00,5.266301131967708216e+00,4.360460724861095372e+01
9.221978823334326947e-01,2.711724466990915516e+00,4.731781601703588791e+01,1.991549373814839763e+00,-5.268901936979346168e+00,5.400533164194137647e+00,4.204891408005654085e+01
9.658832241158703535e-01,2.778922953040946275e+00,4.599423558793662181e+01,1.990735469526840440e+00,-5.516989143093335990e+00,5.532100489700882306e+00,4.047724644484328138e+01
1.011637979766206952e+00,2.844742888927288771e+00,4.466852898474937916e+01,1.989843774808616406e+00,-5.776606008981740814e+00,5.660593928463043767e+00,3.889192297576764190e+01
1.059560179277615921e+00,2.909005927845823347e+00,4.334353173813894955e+01,1.988866975215638266e+00,-6.048266028984094156e+00,5.785625820599085145e+00,3.729526570915485451e+01
1.109752496412072187e+00,2.971548016063746633e+00,4.202207180854105673e+01,1.987797092730299475e+00,-6.332502272821113110e+00,5.906834507240007248e+00,3.568956953571995427e+01
1.162322468679852339e+00,3.032221399107708937e+00,4.070693955072299275e+01,1.986625430417386928e+00,-6.629867635545489080e+00,6.023888142123163369e+00,3.407707191517750545e+01
1.217382727739661386e+00,3.090896244765794609e+00,3.940085864788062509e+01,1.985342513449241730e+00,-6.940935006037118882e+00,6.136487719394144946e+00,3.245992364184351686e+01
