t,S
-8.319999999999952434e-02,-1.903000435314669669e+00
-8.299999999999951861e-02,-2.397527807652625853e+00
-8.279999999999951288e-02,-2.734851867662039027e+00
-8.259999999999950715e-02,-2.896141274930401632e+00
-8.239999999999950142e-02,-2.873924563639844276e+00
-8.219999999999949569e-02,-2.672392894661888896e+00
-8.199999999999948996e-02,-2.306959354206908674e+00
-8.179999999999948423e-02,-1.803113851678282753e+00
-8.159999999999947851e-02,-1.194657016658800641e+00
-8.139999999999947278e-02,-5.214348535419937036e-01
-8.119999999999946705e-02,1.732740924888309664e-01
-8.099999999999946132e-02,8.455474744041244772e-01
-8.079999999999945559e-02,1.453603659286238914e+00
-8.059999999999944986e-02,1.960405012158108029e+00
-8.039999999999944413e-02,2.335917340317870128e+00
-8.019999999999943840e-02,2.558887474519859762e+00
-7.999999999999943268e-02,2.618033988749826957e+00
-7.979999999999942695e-02,2.512585270397801107e+00
-7.959999999999942122e-02,2.252141927373997543e+00
-7.939999999999941549e-02,1.855884050413648678e+00
-7.919999999999940976e-02,1.351185326582003965e+00
-7.899999999999940403e-02,7.717327916743473848e-01
-7.879999999999939830e-02,1.552808288393371372e-01
-7.859999999999939257e-02,-4.588109291929380329e-01
-7.839999999999938685e-02,-1.032095057270552951e+00
-7.819999999999938112e-02,-1.529447844643011534e+00
-7.799999999999937539e-02,-1.921223324607267413e+00
-7.779999999999936966e-02,-2.185017621224009332e+00
-7.759999999999936393e-02,-2.306938847769019141e+00
-7.739999999999935820e-02,-2.282311433589305327e+00
-7.719999999999935247e-02,-2.115781316300317627e+00
-7.699999999999934674e-02,-1.820827420575716671e+00
-7.679999999999934102e-02,-1.418722713725233397e+00
-7.659999999999933529e-02,-9.370224628276647705e-01
-7.639999999999932956e-02,-4.076859745648418465e-01
-7.619999999999932383e-02,1.350406575675969223e-01
-7.599999999999931810e-02,6.568406639919791568e-01
-7.579999999999931237e-02,1.125498093911830200e+00
-7.559999999999930664e-02,1.512887176300321546e+00
-7.539999999999930091e-02,1.796656701102792297e+00
-7.519999999999929519e-02,1.961508831523790963e+00
-7.499999999999928946e-02,1.999999999999910738e+00
-7.479999999999928373e-02,1.912823812990557260e+00
-7.459999999999927800e-02,1.708570019072525703e+00
-7.439999999999927227e-02,1.402987333385220747e+00
-7.419999999999926654e-02,1.017809086004135555e+00
-7.399999999999926081e-02,5.792273135078330748e-01
-7.379999999999925508e-02,1.161214205497208135e-01
-7.359999999999924936e-02,-3.418392837778994608e-01
-7.339999999999924363e-02,-7.660947034324412375e-01
-7.319999999999923790e-02,-1.130973245269280669e+00
-7.299999999999923217e-02,-1.415240556923833770e+00
-7.279999999999922644e-02,-1.603324627252465939e+00
-7.259999999999922071e-02,-1.686147371668403228e+00
-7.239999999999921498e-02,-1.661519957488740706e+00
-7.219999999999920925e-02,-1.534088322328916121e+00
-7.199999999999920353e-02,-1.314844652892521726e+00
-7.179999999999919780e-02,-1.020248114351816282e+00
-7.159999999999919207e-02,-6.710221089899214286e-01
-7.139999999999918634e-02,-2.907143291502007898e-01
-7.119999999999918061e-02,9.588124927763559679e-02
-7.099999999999917488e-02,4.643351858250845954e-01
-7.079999999999916915e-02,7.921218533336270573e-01
-7.059999999999916342e-02,1.059990459271624497e+00
-7.039999999999915770e-02,1.253084792801135938e+00
-7.019999999999915197e-02,1.361747374116472731e+00
-6.999999999999914624e-02,1.381966011250003401e+00
-6.979999999999914051e-02,1.315445169994595043e+00
-6.959999999999913478e-02,1.169309379857643938e+00
-6.939999999999912905e-02,9.554694975277058244e-01
-6.919999999999912332e-02,6.897035206300073940e-01
-6.899999999999911759e-02,3.905205030960526291e-01
-6.879999999999911187e-02,7.788798562886355137e-02
-6.859999999999910614e-02,-2.280904048003835893e-01
-6.839999999999910041e-02,-5.084601496009771848e-01
-6.819999999999909468e-02,-7.465821073160026078e-01
-6.799999999999908895e-02,-9.291086232924418153e-01
-6.779999999999908322e-02,-1.046713048890776765e+00
-6.759999999999907749e-02,-1.094534241617838966e+00
-6.739999999999907176e-02,-1.072317530327421276e+00
-6.719999999999906604e-02,-9.842540758910186538e-01
-6.699999999999906031e-02,-8.385401698473788912e-01
-6.679999999999905458e-02,-6.466955236804294849e-01
-6.659999999999904885e-02,-4.226939231126063956e-01
-6.639999999999904312e-02,-1.819699169405932793e-01
-6.619999999999903739e-02,5.962906334200018810e-02
-6.599999999999903166e-02,2.868748173709909643e-01
-6.579999999999902593e-02,4.861081267483440271e-01
-6.559999999999902021e-02,6.460475472518046880e-01
-6.539999999999901448e-02,7.584102210856739079e-01
-6.519999999999900875e-02,8.183119325327274929e-01
-6.499999999999900302e-02,8.244294954149513632e-01
-6.479999999999899729e-02,7.789249251680874231e-01
-6.459999999999899156e-02,6.871465983454836390e-01
-6.439999999999898583e-02,5.571367066549143265e-01
-6.419999999999898010e-02,3.989858892443334248e-01
-6.399999999999897438e-02,2.240842978397251106e-01
-6.379999999999896865e-02,4.432307907473862635e-02
-6.359999999999896292e-02,-1.286988250698120617e-01
-6.339999999999895719e-02,-2.844104609507194792e-01
-6.319999999999895146e-02,-4.139013135765978735e-01
-6.299999999999894573e-02,-5.104135044573121505e-01
-6.279999999999894000e-02,-5.696679055699167549e-01
-6.259999999999893427e-02,-5.900106727977365573e-01
-6.239999999999892855e-02,-5.723793908905950856e-01
-6.219999999999892282e-02,-5.201001839483943012e-01
-6.199999999999891709e-02,-4.385379728491810569e-01
-6.179999999999891136e-02,-3.346308719798863351e-01
-6.159999999999890563e-02,-2.163459982335781406e-01
-6.139999999999889990e-02,-9.209739866990930557e-02
-6.119999999999889417e-02,2.983271630399409249e-02
-6.099999999999888844e-02,1.418306159331425842e-01
-6.079999999999888272e-02,2.374116698372076284e-01
-6.059999999999887699e-02,3.115780565792434231e-01
-6.039999999999887126e-02,3.610551796363553057e-01
-6.019999999999886553e-02,3.843977541321614844e-01
-5.999999999999885980e-02,3.819660112500209426e-01
-5.979999999999885407e-02,3.557814182309937956e-01
-5.959999999999884834e-02,3.092791270160764605e-01
-5.939999999999884261e-02,2.469805496851788240e-01
-5.919999999999883689e-02,1.741136591559063196e-01
-5.899999999999883116e-02,9.621063313849967380e-02
-5.879999999999882543e-02,1.871226780124894337e-02
-5.859999999999881970e-02,-5.339368491211607393e-02
-5.839999999999881397e-02,-1.158771820527943752e-01
-5.819999999999880824e-02,-1.654959780657436486e-01
-5.799999999999880251e-02,-2.001399958705050997e-01
-5.779999999999879678e-02,-2.188856996871142713e-01
-5.759999999999879106e-02,-2.219629473466274983e-01
-5.739999999999878533e-02,-2.106429675401700619e-01
-5.719999999999877960e-02,-1.870612633946885650e-01
-5.699999999999877387e-02,-1.539930639192648165e-01
-5.679999999999876814e-02,-1.146012216408567874e-01
-5.659999999999876241e-02,-7.217710695043860758e-02
-5.639999999999875668e-02,-2.989412260505855401e-02
-5.619999999999875095e-02,9.408882215133989105e-03
-5.599999999999874523e-02,4.340051853071157095e-02
-5.579999999999873950e-02,7.037662457285454032e-02
-5.559999999999873377e-02,8.932219138701381900e-02
-5.539999999999872804e-02,9.991554844564899673e-02
-5.519999999999872231e-02,1.024793819544987522e-01
-5.499999999999871658e-02,9.788696740964275556e-02
-5.479999999999871085e-02,8.743488385646999705e-02
-5.459999999999870512e-02,7.269526672057871619e-02
-5.439999999999869940e-02,5.536127224765423349e-02
-5.419999999999869367e-02,3.709889102266569066e-02
-5.399999999999868794e-02,1.941667424147352009e-02
-5.379999999999868221e-02,3.562516456772017292e-03
-5.359999999999867648e-02,-9.546376127797313177e-03
-5.339999999999867075e-02,-1.935752448621258504e-02
-5.319999999999866502e-02,-2.568174576505402942e-02
-5.299999999999865929e-02,-2.865983035519619262e-02
-5.279999999999865357e-02,-2.870343759755566299e-02
-5.259999999999864784e-02,-2.641814097096871830e-02
-5.239999999999864211e-02,-2.251754175953948195e-02
-5.219999999999863638e-02,-1.773748419226917408e-02
-5.199999999999863065e-02,-1.275868128458627730e-02
-5.179999999999862492e-02,-8.144607875174065051e-03
-5.159999999999861919e-02,-4.299504825628975777e-03
-5.139999999999861346e-02,-1.448978802892990012e-03
-5.119999999999860774e-02,3.567882573503677142e-04
-5.099999999999860201e-02,1.219548900365268656e-03
-5.079999999999859628e-02,1.353544987433110683e-03
-5.059999999999859055e-02,1.035904307866959391e-03
-5.039999999999858482e-02,5.534940813438594606e-04
-5.019999999999857909e-02,1.529505093123563182e-04
-4.999999999999857336e-02,0.000000000000000000e+00
-4.979999999999856763e-02,1.529505093165168356e-04
-4.959999999999856191e-02,5.534940813507482644e-04
-4.939999999999855618e-02,1.035904307873344908e-03
-4.919999999999855045e-02,1.353544987435099326e-03
-4.899999999999854472e-02,1.219548900358807461e-03
-4.879999999999853899e-02,3.567882573317586849e-04
-4.859999999999853326e-02,-1.448978802926136891e-03
-4.839999999999852753e-02,-4.299504825677056240e-03
-4.819999999999852180e-02,-8.144607875235061398e-03
-4.799999999999851608e-02,-1.275868128465598543e-02
-4.779999999999851035e-02,-1.773748419234034632e-02
-4.759999999999850462e-02,-2.251754175960321569e-02
-4.739999999999849889e-02,-2.641814097101468847e-02
-4.719999999999849316e-02,-2.870343759757341615e-02
-4.699999999999848743e-02,-2.865983035517595534e-02
-4.679999999999848170e-02,-2.568174576498864423e-02
-4.659999999999847597e-02,-1.935752448609720164e-02
-4.639999999999847025e-02,-9.546376127632956801e-03
-4.619999999999846452e-02,3.562516456979998494e-03
-4.599999999999845879e-02,1.941667424171533013e-02
-4.579999999999845306e-02,3.709889102292512203e-02
-4.559999999999844733e-02,5.536127224791240892e-02
-4.539999999999844160e-02,7.269526672081173813e-02
-4.519999999999843587e-02,8.743488385665378060e-02
-4.499999999999843014e-02,9.788696740975377786e-02
-4.479999999999842442e-02,1.024793819545162105e-01
-4.459999999999841869e-02,9.991554844555612658e-02
-4.439999999999841296e-02,8.932219138680334847e-02
-4.419999999999840723e-02,7.037662457252605308e-02
-4.399999999999840150e-02,4.340051853027346307e-02
-4.379999999999839577e-02,9.408882214606270611e-03
-4.359999999999839004e-02,-2.989412260564797141e-02
-4.339999999999838431e-02,-7.217710695105029883e-02
-4.319999999999837859e-02,-1.146012216414472734e-01
-4.299999999999837286e-02,-1.539930639197897855e-01
-4.279999999999836713e-02,-1.870612633950999026e-01
-4.259999999999836140e-02,-2.106429675404250246e-01
-4.239999999999835567e-02,-2.219629473466908365e-01
-4.219999999999834994e-02,-2.188856996869614213e-01
-4.199999999999834421e-02,-2.001399958701235715e-01
-4.179999999999833848e-02,-1.654959780651389656e-01
-4.159999999999833276e-02,-1.158771820519901158e-01
-4.139999999999832703e-02,-5.339368491114687698e-02
-4.119999999999832130e-02,1.871226780232524908e-02
-4.099999999999831557e-02,9.621063313962310848e-02
-4.079999999999830984e-02,1.741136591569953651e-01
-4.059999999999830411e-02,2.469805496861547101e-01
-4.039999999999829838e-02,3.092791270168642193e-01
-4.019999999999829265e-02,3.557814182315218177e-01
-3.999999999999828693e-02,3.819660112502316629e-01
-3.979999999999828120e-02,3.843977541320157676e-01
-3.959999999999827547e-02,3.610551796358362209e-01
-3.939999999999826974e-02,3.115780565783559108e-01
-3.919999999999826401e-02,2.374116698359868549e-01
-3.899999999999825828e-02,1.418306159316446713e-01
-3.879999999999825255e-02,2.983271630230827434e-02
-3.859999999999824682e-02,-9.209739867168123539e-02
-3.839999999999824110e-02,-2.163459982353286570e-01
-3.819999999999823537e-02,-3.346308719814914401e-01
-3.799999999999822964e-02,-4.385379728505247598e-01
-3.779999999999822391e-02,-5.201001839493644141e-01
-3.759999999999821818e-02,-5.723793908911036787e-01
-3.739999999999821245e-02,-5.900106727977231236e-01
-3.719999999999820672e-02,-5.696679055693479876e-01
-3.699999999999820099e-02,-5.104135044561968204e-01
-3.679999999999819527e-02,-4.139013135749726735e-01
-3.659999999999818954e-02,-2.844104609486705071e-01
-3.639999999999818381e-02,-1.286988250674387102e-01
-3.619999999999817808e-02,4.432307907728214730e-02
